date,category,turnover_millions
1994-02-01,Household goods retailing,1497.1
1994-03-01,Household goods retailing,1464.6
1994-04-01,Household goods retailing,1475.0
1994-05-01,Household goods retailing,1497.9
1994-06-01,Household goods retailing,1504.8
1994-07-01,Household goods retailing,1485.7
1994-08-01,Household goods retailing,1551.1
1994-09-01,Household goods retailing,1515.4
1994-10-01,Household goods retailing,1503.2
1994-11-01,Household goods retailing,1521.9
1994-12-01,Household goods retailing,1501.3
1995-01-01,Household goods retailing,1535.8
1995-02-01,Household goods retailing,1552.9
1995-03-01,Household goods retailing,1562.2
1995-04-01,Household goods retailing,1581.7
1995-05-01,Household goods retailing,1595.7
1995-06-01,Household goods retailing,1646.7
1995-07-01,Household goods retailing,1614.6
1995-08-01,Household goods retailing,1606.2
1995-09-01,Household goods retailing,1633.7
1995-10-01,Household goods retailing,1616.2
1995-11-01,Household goods retailing,1606.4
1995-12-01,Household goods retailing,1639.6
1996-01-01,Household goods retailing,1616.0
1996-02-01,Household goods retailing,1621.8
1996-03-01,Household goods retailing,1643.2
1996-04-01,Household goods retailing,1645.8
1996-05-01,Household goods retailing,1655.6
1996-06-01,Household goods retailing,1693.0
1996-07-01,Household goods retailing,1735.1
1996-08-01,Household goods retailing,1717.5
1996-09-01,Household goods retailing,1666.0
1996-10-01,Household goods retailing,1705.6
1996-11-01,Household goods retailing,1701.9
1996-12-01,Household goods retailing,1717.3
1997-01-01,Household goods retailing,1699.8
1997-02-01,Household goods retailing,1782.6
1997-03-01,Household goods retailing,1739.0
1997-04-01,Household goods retailing,1709.3
1997-05-01,Household goods retailing,1742.7
1997-06-01,Household goods retailing,1736.2
1997-07-01,Household goods retailing,1736.3
1997-08-01,Household goods retailing,1732.5
1997-09-01,Household goods retailing,1739.9
1997-10-01,Household goods retailing,1755.0
1997-11-01,Household goods retailing,1777.1
1997-12-01,Household goods retailing,1790.7
1998-01-01,Household goods retailing,1742.6
1998-02-01,Household goods retailing,1730.5
1998-03-01,Household goods retailing,1739.5
1998-04-01,Household goods retailing,1747.1
1998-05-01,Household goods retailing,1726.8
1998-06-01,Household goods retailing,1726.7
1998-07-01,Household goods retailing,1717.7
1998-08-01,Household goods retailing,1730.1
1998-09-01,Household goods retailing,1733.5
1998-10-01,Household goods retailing,1735.5
1998-11-01,Household goods retailing,1705.9
1998-12-01,Household goods retailing,1739.6
1999-01-01,Household goods retailing,1798.1
1999-02-01,Household goods retailing,1805.0
1999-03-01,Household goods retailing,1780.8
1999-04-01,Household goods retailing,1844.7
1999-05-01,Household goods retailing,1843.5
1999-06-01,Household goods retailing,1836.5
1999-07-01,Household goods retailing,1849.5
1999-08-01,Household goods retailing,1899.0
1999-09-01,Household goods retailing,1946.1
1999-10-01,Household goods retailing,1950.8
1999-11-01,Household goods retailing,1933.8
1999-12-01,Household goods retailing,1917.1
2000-01-01,Household goods retailing,1966.2
2000-02-01,Household goods retailing,1977.1
2000-03-01,Household goods retailing,1987.1
2000-04-01,Household goods retailing,1957.2
2000-05-01,Household goods retailing,2058.6
2000-06-01,Household goods retailing,2393.9
2000-07-01,Household goods retailing,1946.7
2000-08-01,Household goods retailing,2062.9
2000-09-01,Household goods retailing,2063.4
2000-10-01,Household goods retailing,2051.9
2000-11-01,Household goods retailing,2095.2
2000-12-01,Household goods retailing,2103.0
2001-01-01,Household goods retailing,2112.9
2001-02-01,Household goods retailing,2140.6
2001-03-01,Household goods retailing,2148.6
2001-04-01,Household goods retailing,2188.4
2001-05-01,Household goods retailing,2202.2
2001-06-01,Household goods retailing,2263.8
2001-07-01,Household goods retailing,2280.6
2001-08-01,Household goods retailing,2293.2
2001-09-01,Household goods retailing,2273.4
2001-10-01,Household goods retailing,2330.2
2001-11-01,Household goods retailing,2349.3
2001-12-01,Household goods retailing,2388.7
2002-01-01,Household goods retailing,2454.1
2002-02-01,Household goods retailing,2416.1
2002-03-01,Household goods retailing,2445.8
2002-04-01,Household goods retailing,2525.0
2002-05-01,Household goods retailing,2568.5
2002-06-01,Household goods retailing,2566.8
2002-07-01,Household goods retailing,2521.0
2002-08-01,Household goods retailing,2546.3
2002-09-01,Household goods retailing,2547.0
2002-10-01,Household goods retailing,2544.1
2002-11-01,Household goods retailing,2575.9
2002-12-01,Household goods retailing,2569.8
2003-01-01,Household goods retailing,2534.2
2003-02-01,Household goods retailing,2546.2
2003-03-01,Household goods retailing,2574.9
2003-04-01,Household goods retailing,2606.8
2003-05-01,Household goods retailing,2643.8
2003-06-01,Household goods retailing,2678.5
2003-07-01,Household goods retailing,2730.0
2003-08-01,Household goods retailing,2737.2
2003-09-01,Household goods retailing,2781.7
2003-10-01,Household goods retailing,2784.2
2003-11-01,Household goods retailing,2785.7
2003-12-01,Household goods retailing,2781.5
2004-01-01,Household goods retailing,2831.7
2004-02-01,Household goods retailing,2826.2
2004-03-01,Household goods retailing,2891.4
2004-04-01,Household goods retailing,2820.8
2004-05-01,Household goods retailing,2827.3
2004-06-01,Household goods retailing,2855.5
2004-07-01,Household goods retailing,2885.4
2004-08-01,Household goods retailing,2875.6
2004-09-01,Household goods retailing,2923.6
2004-10-01,Household goods retailing,2971.0
2004-11-01,Household goods retailing,2976.2
2004-12-01,Household goods retailing,2941.1
2005-01-01,Household goods retailing,2996.1
2005-02-01,Household goods retailing,3001.4
2005-03-01,Household goods retailing,2998.5
2005-04-01,Household goods retailing,2994.7
2005-05-01,Household goods retailing,3030.2
2005-06-01,Household goods retailing,3031.9
2005-07-01,Household goods retailing,3022.5
2005-08-01,Household goods retailing,3053.8
2005-09-01,Household goods retailing,3027.1
2005-10-01,Household goods retailing,3013.9
2005-11-01,Household goods retailing,3044.6
2005-12-01,Household goods retailing,3081.9
2006-01-01,Household goods retailing,3061.3
2006-02-01,Household goods retailing,3089.7
2006-03-01,Household goods retailing,3111.2
2006-04-01,Household goods retailing,3125.2
2006-05-01,Household goods retailing,3186.3
2006-06-01,Household goods retailing,3179.9
2006-07-01,Household goods retailing,3220.9
2006-08-01,Household goods retailing,3200.3
2006-09-01,Household goods retailing,3261.7
2006-10-01,Household goods retailing,3256.8
2006-11-01,Household goods retailing,3284.0
2006-12-01,Household goods retailing,3254.9
2007-01-01,Household goods retailing,3347.9
2007-02-01,Household goods retailing,3414.0
2007-03-01,Household goods retailing,3444.9
2007-04-01,Household goods retailing,3379.8
2007-05-01,Household goods retailing,3398.3
2007-06-01,Household goods retailing,3419.2
2007-07-01,Household goods retailing,3432.2
2007-08-01,Household goods retailing,3475.2
2007-09-01,Household goods retailing,3545.7
2007-10-01,Household goods retailing,3494.2
2007-11-01,Household goods retailing,3530.0
2007-12-01,Household goods retailing,3550.4
2008-01-01,Household goods retailing,3531.5
2008-02-01,Household goods retailing,3498.4
2008-03-01,Household goods retailing,3521.8
2008-04-01,Household goods retailing,3507.4
2008-05-01,Household goods retailing,3503.4
2008-06-01,Household goods retailing,3502.0
2008-07-01,Household goods retailing,3493.8
2008-08-01,Household goods retailing,3458.3
2008-09-01,Household goods retailing,3406.9
2008-10-01,Household goods retailing,3431.6
2008-11-01,Household goods retailing,3388.7
2008-12-01,Household goods retailing,3676.6
2009-01-01,Household goods retailing,3548.3
2009-02-01,Household goods retailing,3455.4
2009-03-01,Household goods retailing,3522.3
2009-04-01,Household goods retailing,3564.0
2009-05-01,Household goods retailing,3560.8
2009-06-01,Household goods retailing,3645.2
2009-07-01,Household goods retailing,3529.2
2009-08-01,Household goods retailing,3526.5
2009-09-01,Household goods retailing,3476.0
2009-10-01,Household goods retailing,3514.7
2009-11-01,Household goods retailing,3585.3
2009-12-01,Household goods retailing,3533.1
2010-01-01,Household goods retailing,3568.5
2010-02-01,Household goods retailing,3556.9
2010-03-01,Household goods retailing,3501.0
2010-04-01,Household goods retailing,3607.4
2010-05-01,Household goods retailing,3571.5
2010-06-01,Household goods retailing,3617.9
2010-07-01,Household goods retailing,3538.2
2010-08-01,Household goods retailing,3538.3
2010-09-01,Household goods retailing,3542.2
2010-10-01,Household goods retailing,3582.3
2010-11-01,Household goods retailing,3597.0
2010-12-01,Household goods retailing,3645.1
2011-01-01,Household goods retailing,3496.0
2011-02-01,Household goods retailing,3571.7
2011-03-01,Household goods retailing,3565.1
2011-04-01,Household goods retailing,3617.0
2011-05-01,Household goods retailing,3594.7
2011-06-01,Household goods retailing,3567.2
2011-07-01,Household goods retailing,3537.6
2011-08-01,Household goods retailing,3627.5
2011-09-01,Household goods retailing,3650.6
2011-10-01,Household goods retailing,3675.4
2011-11-01,Household goods retailing,3675.2
2011-12-01,Household goods retailing,3668.8
2012-01-01,Household goods retailing,3557.0
2012-02-01,Household goods retailing,3549.6
2012-03-01,Household goods retailing,3590.6
2012-04-01,Household goods retailing,3581.1
2012-05-01,Household goods retailing,3623.3
2012-06-01,Household goods retailing,3617.2
2012-07-01,Household goods retailing,3679.5
2012-08-01,Household goods retailing,3653.8
2012-09-01,Household goods retailing,3704.3
2012-10-01,Household goods retailing,3617.8
2012-11-01,Household goods retailing,3582.7
2012-12-01,Household goods retailing,3634.8
2013-01-01,Household goods retailing,3668.3
2013-02-01,Household goods retailing,3706.8
2013-03-01,Household goods retailing,3667.1
2013-04-01,Household goods retailing,3653.0
2013-05-01,Household goods retailing,3667.9
2013-06-01,Household goods retailing,3661.0
2013-07-01,Household goods retailing,3729.9
2013-08-01,Household goods retailing,3742.7
2013-09-01,Household goods retailing,3708.6
2013-10-01,Household goods retailing,3689.2
2013-11-01,Household goods retailing,3734.7
2013-12-01,Household goods retailing,3785.8
2014-01-01,Household goods retailing,3822.4
2014-02-01,Household goods retailing,3872.8
2014-03-01,Household goods retailing,3882.9
2014-04-01,Household goods retailing,3872.6
2014-05-01,Household goods retailing,3859.4
2014-06-01,Household goods retailing,3920.0
2014-07-01,Household goods retailing,3935.9
2014-08-01,Household goods retailing,3923.2
2014-09-01,Household goods retailing,4081.2
2014-10-01,Household goods retailing,4115.5
2014-11-01,Household goods retailing,4139.4
2014-12-01,Household goods retailing,4117.9
2015-01-01,Household goods retailing,4150.8
2015-02-01,Household goods retailing,4227.3
2015-03-01,Household goods retailing,4188.9
2015-04-01,Household goods retailing,4197.6
2015-05-01,Household goods retailing,4230.8
2015-06-01,Household goods retailing,4301.5
2015-07-01,Household goods retailing,4282.2
2015-08-01,Household goods retailing,4325.2
2015-09-01,Household goods retailing,4345.9
2015-10-01,Household goods retailing,4366.2
2015-11-01,Household goods retailing,4387.2
2015-12-01,Household goods retailing,4400.9
2016-01-01,Household goods retailing,4400.3
2016-02-01,Household goods retailing,4399.0
2016-03-01,Household goods retailing,4443.8
2016-04-01,Household goods retailing,4417.5
2016-05-01,Household goods retailing,4335.3
2016-06-01,Household goods retailing,4357.4
2016-07-01,Household goods retailing,4342.7
2016-08-01,Household goods retailing,4398.1
2016-09-01,Household goods retailing,4510.0
2016-10-01,Household goods retailing,4540.0
2016-11-01,Household goods retailing,4513.1
2016-12-01,Household goods retailing,4442.0
2017-01-01,Household goods retailing,4500.6
2017-02-01,Household goods retailing,4452.2
2017-03-01,Household goods retailing,4442.4
2017-04-01,Household goods retailing,4481.6
2017-05-01,Household goods retailing,4545.1
2017-06-01,Household goods retailing,4591.8
2017-07-01,Household goods retailing,4533.9
2017-08-01,Household goods retailing,4495.5
